Dates,AAPL UW Equity,ADBE UW Equity,ADI UW Equity,ADP UW Equity,ADSK UW Equity,AEP UW Equity,ALGN UW Equity,AMAT UW Equity,AMD UW Equity,AMGN UW Equity,AMZN UW Equity,ANSS UW Equity,ASML UW Equity,ATVI UW Equity,AVGO UW Equity,BIDU UW Equity,BIIB UW Equity,BKNG UW Equity,CDNS UW Equity,CDW UW Equity,CERN UW Equity,CHKP UW Equity,CHTR UW Equity,CMCSA UW Equity,COST UW Equity,CPRT UW Equity,CRWD UW Equity,CSCO UW Equity,CSX UW Equity,CTAS UW Equity,CTSH UW Equity,DLTR UW Equity,DOCU UW Equity,DXCM UW Equity,EA UW Equity,EBAY UW Equity,EXC UW Equity,FAST UW Equity,FB UW Equity,FISV UW Equity,FOX UW Equity,FOXA UW Equity,GILD UW Equity,GOOG UW Equity,GOOGL UW Equity,HON UW Equity,IDXX UW Equity,ILMN UW Equity,INCY UW Equity,INTC UW Equity,INTU UW Equity,ISRG UW Equity,JD UW Equity,KDP UW Equity,KHC UW Equity,KLAC UW Equity,LRCX UW Equity,LULU UW Equity,MAR UW Equity,MCHP UW Equity,MDLZ UW Equity,MELI UW Equity,MNST UW Equity,MRNA UW Equity,MRVL UW Equity,MSFT UW Equity,MTCH UW Equity,MU UW Equity,NFLX UW Equity,NTES UW Equity,NVDA UW Equity,NXPI UW Equity,OKTA UW Equity,ORLY UW Equity,PAYX UW Equity,PCAR UW Equity,PDD UW Equity,PEP UW Equity,PTON UW Equity,PYPL UW Equity,QCOM UW Equity,REGN UW Equity,ROST UW Equity,SBUX UW Equity,SGEN UW Equity,SIRI UW Equity,SNPS UW Equity,SPLK UW Equity,SWKS UW Equity,TCOM UW Equity,TEAM UW Equity,TMUS UW Equity,TSLA UW Equity,TXN UW Equity,VRSK UW Equity,VRSN UW Equity,VRTX UW Equity,WBA UW Equity,WDAY UW Equity,XEL UW Equity,XLNX UW Equity,ZM UW Equity
9/10/21 14:00,149.815,663.98,171.22,202.82,286.69,89.14,726.31,138.35,106.24,214.88,3487.83,376.43,864.76,80.49,504.49,165.36,304.53,2308.19,168.25,199.95,74.65,121.93,790.14,59.68,467.99,144.75,264.09,58.21,31.17,408.67,76.87,90.83,277.74,555.46,146.1,73.38,50.4,53.82,381.65,111.01,33.56,36.2,71.1,2844.26,2825,224.1,684.18,462.2,71.53,54.285,570.71,1019.33,80.68,35,36.54,355.42,606.16,428.51,137.52,159.53,60.41,1851.18,96.45,459.18,62.03,298.34,166.995,74.255,603.02,89.23,225.3,215.14,257.285,596.79,111.26,84.04,104.04,156.05,116.39,286.42,144.06,654.23,113.695,120.61,152.22,6.05,335.04,155.7,179.66,30.82,382.22,131.22,747,192.55,206.63,222.97,189.28,49.74,270.13,68.07,157.02,305.02
9/10/21 14:30,149.88,663.35,171.03,202.58,286.17,89.25,725.13,138.09,106.055,214.66,3484.75,375.21,864.48,80.05,503.08,165.18,304.49,2311.37,167.88,199.42,74.62,121.72,788.62,59.595,467.72,144.64,264.22,58.2,31.15,407.75,76.8,90.63,277.5,552.85,145.93,73.105,50.42,53.835,381.15,111.25,33.5,36.1,71.175,2848.45,2830.32,223.525,683.54,462.15,71.47,54.19,570.37,1026.86,80.825,35.05,36.545,354.95,604.44,429.67,137.34,159.22,60.495,1847.41,96.42,454.49,61.78,297.92,165.73,74.12,604.36,88.97,225.35,214.63,256.7,595.84,111,83.89,104.15,156.15,116.58,286.22,143.75,652.99,113.45,120.3,152.005,6.055,334.5,155.33,179,30.775,382.06,131.49,748.84,192.07,206.75,222.71,189.65,49.765,269.61,68.14,156.245,305.3
9/10/21 15:00,149.11,660.64,170.19,202.15,285.12,89.32,723.6,137.41,105.6,214.36,3471.07,374.31,860.4,79.95,499.5,163.68,302.31,2319,167.25,199.01,74.68,121.76,788.62,59.48,467.31,144.22,261.76,58.065,31.11,403.76,76.57,90.52,276.28,549.51,145.73,72.88,50.35,53.835,379.61,111.09,33.4,36,71.16,2844,2822,223.37,682.06,460.49,71.21,53.98,568.79,1024.05,80.5,35.04,36.535,352.76,600.19,427.88,136.85,158.27,60.47,1820.88,96.24,448.69,61.38,296.96,165.2,73.69,600.73,88.53,224.51,213.29,254.92,595.88,110.83,83.63,103.44,156.02,116.08,284.7,143,651.97,113.27,120.05,151.25,6.025,333.25,154.59,178.01,30.675,381.16,131.18,740.68,191.31,206.56,222.11,189.13,49.74,268.51,68.225,155.18,303.25
9/10/21 15:30,148.97,658.94,169.94,200.83,284.43,88.83,720.67,136.83,105.2,213.75,3469.6,373.61,858.71,79.64,498.15,164.1,301.35,2322.12,166.87,198.06,74.45,121.1,787.12,59.3,465.16,143.18,262,57.89,30.95,407.78,76.26,90.21,277.22,549.38,145.13,72.57,49.91,53.57,378.69,110.68,33.3,35.95,70.99,2838.42,2817.52,222.37,681.61,458.21,71.12,53.84,567.38,1023.47,80.64,34.83,36.33,350.57,598.11,425.58,135.64,157.48,60.23,1827.12,95.92,449.38,61.17,295.71,164.38,73.5,598.72,88.45,224.78,212.17,253.98,592.57,110.3,83.61,103.75,155.46,114.39,284.32,142.68,650.49,112.84,119.34,151.51,6,332.49,153.96,177.33,30.87,379.97,130.81,736.27,190.65,205.55,221.17,188.57,49.45,267.53,67.76,155.06,301.5
9/13/21 9:30,149.85,650.68,172.32,203.92,282.5,89.17,701.36,140.7,103.7,218.25,3469.66,370.92,865.63,80.05,501.71,163.01,304.56,2329.26,165.07,198.05,74.52,118.08,800.13,60.38,464.05,144.69,251.1,58.2,31.125,407.75,76.33,90.09,269.89,528.51,146.06,72.11,50.84,53.77,376.29,111.91,33.66,36.29,71.84,2859.01,2836.35,224.52,666.8,455.27,72.02,55.25,560.08,1015.66,78.91,35.215,36.94,356.91,612.98,422.43,137.41,160,61.24,1834.3,96.66,423.21,61.58,297.02,161,74.7,588.43,88.19,222,215.09,248.935,596.06,111.59,83.99,100.3,157.17,111.62,280.26,144.04,647.83,114.03,119.39,154.36,6.075,331.71,150.45,179.56,29.3,374.33,131.46,719,193.37,206.98,223.61,192.89,50.03,263.36,68.14,153.26,294.91
9/13/21 10:00,149.61,646.54,170.92,202.26,282.06,88.75,699.74,138.81,103.44,217.78,3463.12,370.99,863.04,79.36,496.49,163.14,305.31,2320.82,163.79,197.41,74.3,118.39,801.08,60.47,462.95,143.61,250.79,58.02,31.11,409.23,76.04,89.77,271.77,530,144.86,72.14,50.79,53.47,375.97,110.28,33.74,36.37,71.32,2855,2832.88,224.81,660.15,452.32,71.95,54.73,554.52,1013.7,79.42,35.14,36.99,353.24,603.64,422.16,138.68,158.29,61.22,1825,96.065,422.39,61.18,294.94,161.5,74.37,586.24,88.91,220.44,214.1,249.74,590.79,110.48,83.41,100.3,156.38,111.22,279.71,142.77,643.74,113.97,119.27,153.84,6.115,329.51,149.8,177.7,29.29,374.07,131.12,717.68,192.1,206.09,222.07,191.69,50.04,264.56,68.03,152.02,293.05
9/13/21 10:30,150.07,646.18,171.9,202,282.32,88.73,705.45,139.11,103.9,216.87,3466.54,371.59,864.48,79.16,496.2,163.99,304.86,2320.2,164,197.43,74.34,118.78,802.24,60.47,461.99,143.96,254.3,58.12,31.15,405.4,76.1,89.45,272.18,535.33,144.89,72.66,50.74,53.65,376.83,110.91,33.84,36.49,70.92,2868.63,2842.62,225.53,657.66,451.525,71.81,54.77,555.1,1018.26,80.26,35.21,36.995,353.21,605.03,423.29,140.22,159.57,61.11,1834.43,96.02,427.24,61.61,295.6,161.48,74.11,585.84,89.3,220.92,214.35,250.63,591.28,110.65,84.01,102.15,156.43,113.45,280.82,143.03,641.5,114.19,119.54,152.73,6.125,330.46,151.26,179.08,29.23,376.79,130.82,723.51,192.55,206.21,222.06,191.22,50.205,266.33,67.96,153.02,294.46
9/13/21 11:00,150.08,643.78,171.38,201.06,280.96,88.54,705.31,138.46,103.35,216.6,3461.25,367.85,864.8,78.76,494.64,163.89,303.63,2319.7,162.82,196.44,74.22,118.82,798.16,60.12,461.05,142.85,250.81,57.855,30.97,405.49,75.69,89.61,271.38,532.97,144.11,72.36,50.47,53.45,376.51,110.33,33.75,36.41,71.07,2865.05,2838.16,224.67,651.72,449.02,71.33,54.56,553.45,1012.69,80.27,35.16,36.89,350.67,602.54,423.8,139.74,158.78,60.99,1848,95.69,425.3,61.44,294.62,161.99,73.87,586.92,88.56,219.77,212.66,249.09,590.27,110.05,83.83,102.8,156.14,113.24,279.53,142.36,636.94,113.55,119.26,151.41,6.095,328.34,150.77,178.1,29.14,374.83,130.4,723.94,191.63,205.42,220.71,190.44,49.975,265.37,67.815,152.59,294.55
9/13/21 11:30,149.49,641.45,171.85,200.84,280.29,88.49,704.33,139.17,103.56,216.82,3461,366.67,868.1,78.81,495.95,164.23,301.7,2327.27,162.54,195.82,74.18,118.34,796.88,60.03,460.47,142.37,251.28,57.85,30.88,404.82,75.81,89.21,269.83,534.83,144.52,72.59,50.52,53.26,375.16,110.41,33.79,36.405,71.27,2863.4,2838.35,223.85,649.04,448.31,71.94,54.76,552.82,1015.87,80.26,35.24,36.92,352.36,604.58,423.1,139.835,159.405,60.97,1848.51,95.64,426.34,61.51,294.46,162.54,74.23,586.19,88.58,219.28,213.07,249.09,589.87,109.8,83.96,103.17,156.22,112.91,279.13,142.38,640.35,113.72,119.07,152.48,6.115,328.41,150.21,178.88,29.27,373.82,130.42,721.51,192.18,204.68,220.42,191.54,50,264.66,67.8,153.03,294.04
9/13/21 12:00,149.77,641.81,172.32,200.39,280.68,88.12,705.94,140,104.08,217.58,3467.59,368.1,871.21,78.94,498.59,164.61,302.44,2319.59,163.2,196.28,74.05,118.56,798.43,60.07,459.52,142.71,252.21,58.1,30.77,404.91,75.89,89.06,272.63,537.17,144.88,72.74,50.4,53.21,376.49,110.22,33.78,36.39,71.585,2877.29,2852.19,223.7,651.29,450.06,72.35,54.92,555.25,1020.01,80.92,35.27,36.9,353.8,607.52,423.68,139.89,160.14,60.96,1848,95.66,430.84,61.8,295.24,163.42,74.615,588.7,89.04,220.21,214.17,250.93,588.57,109.45,84.1,104.19,156.28,113.88,280.21,142.87,642.58,113.68,118.85,153.81,6.125,329.59,150.84,180.24,29.33,376.1,130.45,725.92,192.99,204.16,220.68,192.06,49.96,265.77,67.38,153.66,295.89
9/13/21 12:30,150.02,643.48,172.57,200.31,280.92,87.8,708.58,140.73,104.35,216.77,3472,367.54,871.99,78.56,498.97,164.7,301.31,2323.18,163.84,196.31,74.03,118.23,796.55,59.995,458.94,142.89,253.34,58.07,30.775,404.76,76.14,89.19,273.07,538.05,144.61,72.76,50.25,53.02,377.43,110.32,33.64,36.23,71.47,2883,2855,223.72,654.28,452.26,72.66,54.98,557.13,1022.5,80.96,35.2,36.79,355.13,610,423.44,140.08,159.88,60.76,1850.37,95.5,429.18,62.05,296.03,162.92,74.63,588.69,89.02,220.56,214.26,252.09,587.54,109.44,83.84,104.1,155.94,114.25,281.25,143.1,643.105,113.77,119.08,152.73,6.115,330.79,151.45,180.44,29.385,377.59,130.77,730.51,193.36,204.09,220.98,191.86,49.74,266.48,67.13,153.85,295.89
9/13/21 13:00,149.3,643.66,171.9,199.925,279.98,87.87,706.96,140.07,103.88,216.15,3465,368.12,868.93,78.63,498.68,163.85,301.67,2330,164.1,196.05,74.02,118.5,794.92,59.76,459.72,142.9,253.84,57.95,30.76,405.36,76.01,89,272.69,540.34,144.32,72.68,50.25,53.19,376.39,109.85,33.605,36.22,71.48,2872.31,2848.4,222.92,654.25,451.375,72,54.79,557.68,1026.44,80.65,35.16,36.77,354.51,609.31,423.28,138.93,159.31,60.755,1842.59,95.49,424.14,61.8,296.01,162.37,74.11,587.82,89.04,219.5,213.56,251.77,586.54,109.27,84.02,104.03,155.87,113.61,280.23,142.61,640.63,113.51,118.94,151.88,6.085,330.95,151.245,179.79,29.41,376.79,130.28,729.65,193.03,204.38,221.14,190.54,49.71,265.64,67.16,153.32,295.01
9/13/21 13:30,148.97,643.37,171.25,199.55,279.59,88.15,705.79,139.79,103.85,215.13,3460.03,367.91,867.11,78.57,497.02,163.52,301.94,2326.79,164.17,195.96,74,118.42,794.52,59.73,459.07,142.63,254.28,57.84,30.695,405.29,76.13,88.86,272.65,538.26,144.61,72.52,50.385,53.06,376.2,109.57,33.62,36.23,71.1,2869.91,2847.63,222.25,654.34,452.17,71.78,54.69,557.32,1022.95,80.23,35.075,36.66,353.04,607.6,424.53,138.81,159.06,60.69,1844.57,95.25,421.5,61.77,295.87,162.925,73.98,587.94,88.77,219.44,213.24,252.12,584.44,108.99,83.95,104.025,155.64,113.54,280.03,142.45,638.82,113.45,118.69,151.49,6.085,330.91,151.12,179.27,29.325,376.86,130.02,732.56,192.66,204.46,220.89,189.97,49.65,265.85,67.28,153.12,295.14
9/13/21 14:00,148.92,641.3,171.4,199.39,279.29,88.13,706.2,139.5,103.8,215.75,3447.92,366.71,864.13,78.4,496.39,163.11,299.76,2326.92,164.12,196,73.89,118.06,790.58,59.61,459.03,142.71,252.55,57.84,30.775,406.08,76.12,89.01,271.01,536.87,144.67,72.38,50.34,53.21,375.1,110.01,33.44,36.01,71.12,2858.37,2834.9,223.38,653.39,450.67,71.98,54.67,555.75,1019.03,80.12,35.065,36.63,352.76,605.645,425,139.15,159,60.61,1842.2,95.36,418.29,61.7,295.13,161.93,73.97,585.01,88.48,219.02,213.34,250.6,586.43,109.24,83.77,103.81,155.56,112.95,279.55,142.42,638.25,113.24,118.61,150.91,6.045,330.37,151.3,179.51,29.29,375.45,129.84,734,192.72,204.64,220.78,190,49.36,265.04,67.24,153.31,293.31
9/13/21 14:30,149.26,641.9,171.04,199.58,279.6,88.14,707.65,139.44,103.95,216.06,3446.59,366.45,864.7,78.43,495.93,163.28,299.28,2328.66,164.08,195.7,74.18,118.23,792.05,59.66,458.51,142.8,253.09,57.83,30.8,407.03,76.15,88.93,272.16,536.79,144.62,72.4,50.27,53.235,375.24,110.03,33.48,36.04,71.155,2858.57,2835.15,223.67,653.51,451.39,72.19,54.74,556.15,1021.48,80.28,35.16,36.71,352.75,606.09,425.58,139.46,159.04,60.66,1852.61,95.32,419.13,61.73,295.51,163.03,73.98,587.27,88.47,219.44,212.98,250.7,586.86,109.16,83.96,104.31,155.66,112.33,279.89,142.47,636.49,113.51,118.91,150.42,6.055,330.3,151.55,179.64,29.255,375.11,129.91,739.75,192.52,204.54,220.92,190.13,49.22,266,67.14,153.15,291.94
9/13/21 15:00,149.56,644.44,171.64,200.2,281,88.365,710.08,139.79,104.28,216.46,3456.78,366.58,869,78.46,497.59,163.24,298.14,2332.13,164.65,196.41,74.32,118.47,794.99,59.82,459.82,143.06,254.84,58.1,30.905,406.58,76.24,88.94,271.17,538.07,144.685,72.77,50.52,53.405,376.04,110.2,33.57,36.16,71.34,2869.34,2847.35,223.85,656.88,451.92,72.16,54.88,558.36,1022.7,80.06,35.16,36.725,354.05,608.42,425.56,139.61,159.82,60.725,1858,95.39,421.01,62.01,296.46,162.75,74.22,588.2,88.38,220.675,213.9,251.37,588.39,109.45,84.06,104.1,155.83,111.89,280.51,143.01,638.11,113.46,119.19,151.22,6.06,331.73,151.6,180.31,29.24,375.78,130.46,739.92,193.26,205.07,221.64,190.65,49.19,267.52,67.29,153.97,292.49
9/13/21 15:30,149.55,645.15,172.81,200,281.28,88.32,710.87,139.44,104.8,216.72,3457.27,366.38,871.24,78.53,498.96,163.26,298.295,2327.27,164.63,196.84,74.5,118.22,793.07,59.97,459.66,142.84,254.03,58.1,30.9,406.22,76.4,89.26,271.22,540.43,144.68,72.67,50.56,53.38,376.51,110.07,33.73,36.34,71.14,2869.3,2846.65,223.6,655.05,452.83,72.45,55,557.42,1027.82,80.17,35.15,36.64,355.6,608.77,425.12,139.98,160.7,60.77,1860.14,95.39,419.72,62.38,296.99,162.01,74.35,589.29,88.18,221.52,214.77,249.53,587.38,109.45,84.38,104.16,155.76,111.51,280.49,143.41,639.08,113.5,119.18,150.91,6.05,331.59,150.92,181.22,29.34,376.71,130.02,743.12,193.98,205.02,221.08,190.72,49.18,267.75,67.08,155.02,290.24
